question,answer
oke tới tao gọi bye,oke gọi chứ không tao cho ở ngoài á chứ
sở_thích,nghe nhạc chơi game du_lịch thích được yêu sự giàu_có ghét sự nhòm_ngó yêu hòa_bình
em nghe nói học bơi khó qua lắm hả chị,đâu có dễ lắm em chịu_khó một_tí là biết bơi thôi hà
hôm_nay em muốn ăn món gì nào,gì cũng được
đói không bro,đói vl bro
ra thế_giới di_động mua đi tao đi với,ok mai 9h đi
mày thích ăn bún hay cơm,món có nước là ok hết
ở đó vui không,vui
bạn ăn_bám à,yup
những lúc rãnh rỗi anhchị thường giải_trí ở đâu trong trường,nhà b lầu 5
ê hoa thích mẫu bạn trai như thế_nào vậy,gì tính cua người_ta à người_ta là hoa đã có chủ rồi
đã làm gì với người_yêu chưa,làm nhiều rồi
cần bằng tiếng anh để ra trường,cần
ăn tôm_hùm không,cua hoàng đế đi
từ đâu đến,hồ chí minh
bao_nhiêu phòng tắm,3 phòng tắm
chị học ngành nào vậy chị,chị học công_nghệ thông_tin á em
bạn có chơi thể_thao không,mình không chơi thể_thao
bạn có_thể phân_biệt được giới_tính không,chắc_chắn
nhà bạn ở quận mấy vậy quang,nhà tôi ở quận bình tân
bạn có muốn ăn tráng_miệng không,tất_nhiên rồi
rủ ai không,để rủ thêm
trên thế_giới có bao_nhiêu châu_lục và đại_dương,trên thế_giới có 6 châu_lục và 5 đại_dương
bạn thân của bạn là ai,ton lộc
sao bạn bi_quan thế rồi sẽ có thôi,ừa mình tin là thế
cuối tuần này khai_trương nhà_hàng mới nè mày đi ăn_không,ở đâu khuyến_mãi thế_nào
đang ở đâu,thủ đức
địa_chỉ trường bạn ở đâu,cơ_sở chính của trường là số 2 đường nguyễn hữu thọ quận 7
tối đi ăn gì không,ok bún đậu đi
mày có ny chưa,chưa
hãy kể tên những người trong gia_đình bạn,dũng mai thuần an
cho em hỏi dép này bền không vậy ạ,dép này bền lắm bạn nhé
còn được nhận lì_xì không,hết rồi
sao người_ta nói trường mình như đà_lạt,tại máy_lạnh nhiều mà còn bật suốt
quê mầy ở đâu,tiền_giang
quê của bạn có gì thú_vị,mình cũng không biết nhiều lắm vì mình ít khi được về quê
vậy bạn thử làm một_vài phép cộng cho mình nhé,ok bạn cho đề đi mình sẽ cố_gắng thực_hiện các phép_tính cho bạn
phim gì gây ấn_tượng với bạn nhất,đó là phim minh lan truyện
một_mình nó cân được 5 đứa luôn,hahaha để vô chơi thử nè
chỗ bạn trọ an_ninh có tốt không,bên mình an_ninh an_toàn lắm
em mày tên gì,trung
mày có chơi lol không,có
lẩu hải_sản ở ntt,okđi
hello,gì á
làm gì để làm_giàu,lấy vợ giàu và trúng vé_số
đà_nẵng đi không,được
vậy còn công_nhân_viên của trường thì sao,đội_ngũ công_nhân_viên của trường luôn_luôn thân_thiện vui_vẻ và trách_nhiệm với công_việc và với sinh_viên
thầy m cho bài_tập nhiều không,quá trời luôn
có được học_bổng khôg,2 cái
xinh là một lời thế,ế là một kỹ_năng
có vui không,có vui có buồn
học tốt không,là học_sinh giỏi ở trường
bạn học gì,công_nghệ thông_tin
mình đi 2 ngày thì thế_nào,ok
đi chơi không,đi
mâm ngũ_quả gồm quả gì,mãng_cầu xiêm dừa hay dưa đu_đủ xoàidưa hấu
bạn thuê nhà_trọ như_vậy có mắc không,cũng không mắc lắm vì tụi mình chia_sẻ tiền nhà với nhau mà
phòng mấy người,3
thích chơi thể_thao không,có
sở_thích của bạn là gì,chơi thể_thao
bạn đang tên gì vậy,mình tên chupi
cửa_hàng của mình bán những loại thiết_bị gì,bán đồ điện_tử bao_gồm máy_tính các loại và có cả điện_thoại
bạn học ở đâu,mình học ở thái_lan
người_yêu tên gì,hỏi chi
ừ,mày làm ở đâu
bạn có yêu bao_giờ chưa,mình chưa yêu ai bao_giờ
cậu có bạn gái chưa,tạm_thời thì chưa có
địa_chỉ là gì,hông nói
đi chơi hay đi xem phim không,xem phim
nhà bạn có vào nhiêu người giúp_việc,không nhà mình nghèo lắm
cho mình xin hỏi tên bạn là gì,tên mình là vân
bạn có phải con_người không,không tôi là người_máy
liệu có chính_đáng khi bạn duy_trì sở_thích của mình,yup
trường có học_bổng không cô,có em
nghe nói trường có thư_viện rất lớn,thư_viện trường phục_vụ hàng nghìn sinh_viên và tài_liệu theo học em nhé
sáng_mai dậy sớm đi chạy bộ đi bạn,tối nay tôi chạy deadline mai chắc không dậy sớm được
chiều cậu có rãnh chơi game cùng mình không,được chiều mình rãnh nha
đi ăn_không bro,ok bro
ê,gì
trường có tòa_ktx,4 tòa
mua online chỗ nào an_toàn vậy mày,tiki
có quen ai lâu_dài,hông
có bị điên không,không
bạn sinh ra ở đâu,tôi sinh ra từ những người có đôi bàn_tay đẹp với cặp mắt long_lanh
người_yêu bạn là người như thế_nào,đã bảo là đang độc_thân
trời mưa chạy ra đường thì có bị ướt không,nếu có che ô thì không bị ướt
ở trọ hay đi về,đi về
người bạn yêu_quý nhất trong gia_đình là,tôi nghĩ đó là mẹ tôi
mày thích thể_loại phim gì,phim hành_động bro
ngoài làm_việc giải_trí lúc rãnh bạn còn làm gì nữa không,mình xem bài_học cho ngày_mai
tao cũng vậy chờ mày chỗ cổng nghe,oke
bạn có hay làm_việc nhà không,có mình thích nấu_ăn và mình cũng hay nấu_ăn khi rãnh rỗi
bạn chọn cơm tấm hay chọn phở,mình chọn cả 2
rủ ai đi ăn chung luôn,ok để tao mời
bạn có đặc_biệt hâm_mộ ai không,không có luôn
cậu có muốn đi thái lan vào kì nghỉ_hè không,có cậu ơi mình thích lắm
có hay mua đồ secondhand không,có
mua iphone 10 không tao bán,cho tao xem đã
ra đó làm gì,về nhà_ăn tết tết
năm nay 21 21 tuổi rồi có bạn gái chưa,chưa mình từ_bỏ rồi bay giờ máy desktop ở nhà là bạn_đời của mình
nhà mày ở đâu,mày hỏi để đi qua ăn ké à
mày thuộc cung gì,song tử
bạn biết hát hay không,mình không biết hát nhưng mình có_thể giới_thiệu một_số bài hát hay cho bạn
mày làm gì khi rảnh,tao xem phim hoặc chơi game gì đó
thể_loại sách nào khiến bạn thích_thú,trinh_thám huyền huyễn kiếm_hiệp bla bla
crush mày biết mày thích nó không,trừ nó ai cũng biết
mẹ bạn làm gì,làm phi_hành_gia
nếu mày không ăn những món sang chảnh thì cầm 2 lít đi được ròi,là đi ăn vặt thôi đó hả
phim không,phim gì
tâm_trạng của cậu hiện như thế_nào,tớ cảm_thấy khá ổn với các mối quan_hệ
bạn hay xem phim ở đâu,mình hay xem ở cgv
mua lâu chưa,năm_ngoái
đi du_lịch không,ở đâu
vậy tui có nên đi đó 1 lần không nhỉ,nếu muốn thì đi thử cho biết
không mình không biết,trường mình nằm ngay trên đường nguyễn hữu thọ
tên mày là gì,tao tên huy
lúc rãnh bạn không đi ngủ sao,tất_nhiên rồi lúc rãnh mình cũng thường đi ngủ
ê có bạn gái chưa,chưa
bạn học khoa nào,tôi học cntt ngành khoa_học máy_tính
ở ktx thì có chỗ gửi xe không,ở ktx thì các bạn sẽ gửi xe bên hầm xe vfis
okay để tớ tìm thử tớ thấy rồi,okay cậu
có thời_gian để làm luôn hả,cha tôi làm theo ca nên khi nào rảnh sẽ làm_ruộng
đi net không bạn,có
nên lần đầu hẹn_hò không,thử cho biết
thường đi ăn chung với ai,gia_đình
bạn đang sống ở quê hay ở đâu,mình đang sống ở tphcm
từ nhà mày đến sài_gòn đi xe_khách lâu không,khoảng 8 tiếng á
bạn có thích paris không,mình thích lắm
bạn mai sao trông gầy_thế,béo như heo luôn chứ gầy gì
cảm_xúc của bạn như thế_nào khi được nhận vào làm,mình rất vui vì được nhận vào làm
bạn thích thể_loại phim nào,mình thích thể_lệ huyền huyễn nha
tình_trạng quan_hệ hiện_tại của bạn như nào,hiện_tại mình đang độc_thân
đôi giày bạn đang mang của hãng nào vậy,đôi này là của hãng balenciaga đó
mày nghĩ tao có cơ_hội không,có nha
vậy chúng_mình đi luôn được không bạn,ok
mình thấy ừng chiếc quần này để mình đi mặc thử nhé,vâng phòng thay đồ ở phía này ạ
người_yêu bạn ở đâu,người_yêu tôi ở quận 7 bạn êyyy
cậu crush cậu áy lâu vậy sao cậu chưa tỏ_tình_vậy,do mình thiếu can_đảm và tự_tin ấy cậu
cho mình xin địa_chỉ đi bạn,chi vậy bạn
thích diễn_viên nào không,không
bạn có làm cái khác ngoài việc trên không,có mình thường đi chơi với bạn_bè
đi đâu về đó,đi ăn
đổi được không,được
chơi nhạc_cụ gì,guitar
robot ơi mình với bạn ai đẹp_trai hơn,bạn hỏi điều ai cũng biết luôn á đó là mình đẹp_trai hơn rồi hihi
có bao_nhiêu anh_chị_em,có 5 anh_chị_em
rảnh hay làm gì,ngủ xem youtube
bạn có đang thèm món gì không,mình đang thèm gà sốt mật_ong hoặc gà sốt_cay
có_thể cho em biết là trường mình có dạy công_nghệ thông_tin không ạ,có
có thông_minh không,rất thông_minh
trường đó ở đâu,trường đó ở sài_gòn
thường đi ăn chung với ai,bạn_bè
dạ em muốn biết trường mình có gì đặc_biệt hơn trường khác,trường mình có thư_viện tốt nhất nước
bạn tùng đi du_lịch ở đâu,mình cũng chả nhớ nhiều lắm đà_nẵng đà lạt phan_thiết nha trang vũng_tàu
đi đánh cầu,ở đâu mấy giờ
bạn học ngành gì,it á
bạn tìm bạn gái giúp mình đi,bạn đợi mình một lúc nhé
ba mẹ mày cho mày tiền trả tiền trọ à,không tao đi làm thêm vừa đủ tiền trả tiền trọ
vậy làm làm không đúng chuyên_ngành hả,đúng òi
đi ăn hong,không
quê bạn có món gì ngon không,quê mình có đặc_sản là món don
chơi chung vui không,vui chứ
code tạo ra mày có bị trùng với ai không,không_đâu
ngày nghĩ mày hay đi đâu chơi không,tao hay đi đà_lạt
trong đó có những gì,ở đó giống như là việt nam thu nhỏ vậy á
đã có công_việc ổn_định chưa,rồi nhưng vẫn còn đang khó_khăn
bạn muốn mối quan_hệ thế_nào lúc hiện_tại,khi nào làm_chủ tài_chính
bạn có đang thích ai không,mình đang thích thầm một bạn nam lớp bên
bạn có thông_minh không,bạn không thấy mục_đích mình được tạo sao
ấn_tượng về các thầy cô,rất nhiệt_tình và tận_tụy
vợ bạn là người như thế_nào,chu_đáo với gia_đình
cậu sử_dụng chiếc điện_thoại này bao_lâu,tớ sử_dụng chiếc điện_thoại này được 3 năm rồi
bạn đi chơi ở đó có vui không,lúc đầu thì vui lúc sau thì bớt vui rồi
bạn đang học ở đâu,mình đang học ở trường đại_học tôn đức thắng
ông bà_già sao,còn khỏe
địa_chỉ của bạn ở sài_gòn là ở đâu,mình ở quận 7
bia rượu không,không
bạn có hay đi chơi với bạn_bè không,rủ quài không ai đi
công_việc mơ_ước của bé sau_này là gì,công_việc ước_mơ của bé sau_này là làm phi_công
1 ván rank không,vô mày
tại bạn nhạt_nhẽo á,kệ tui kệ tui
vậy công_ty của chị bạn thì sao,ai biết_đâu mà nghe nói cũng sắp tới rồi
con laptop dell như thế_nào,ngon bền
thứ 2 tuần sau có phim mới hay lắm bạn đi xem với tui không,để mình xem_lại thời khóa biểu trên trường coi rãnh không
quán nào thế,thị_trấn bò
mai rảnh không rũ bồ đi bar chơi,rảnh thì rũ không thì_thôi
bạn muốn đi du_lịch với tớ không,chắc rồi nhưng ta sẽ đi đâu
làm_việc gì,phục_vụ
này bạn thấy crush của tôi thế_nào,trông cũng xinh_xắn cá_tính đấy
bạn có thoải_mái trong chuyện tình_yêu hay không,thỏa_mái về việc gì
vậy à,ừ cậu
có loại áo này không,hết rồi
có_học đội_tuyển học_sinh giỏi không,có
ai đặt vé,mình
game gì,mobile
còn đi làm ở công_ty cũ,còn anh vẫn vậy hả
mình cũng muốn đi leo núi một ngày nào đó,vậy lần sau mình đi thì mình sẽ rủ bạn
thích ăn gì,ăn cơm sườn
trời âm_u_gió hù hù 3 thằng mù chung cây dù hỏi nào ướt,không thằng nào ướt
nhà bạn ở miền nào,miền trung nhá
ở gò vấp phải không,ừm nó đó
còn đồ uống ưa_thích của mình thì là trà sữa,cậu hay uống trà sữa hongkong hay đài_loan
bạn_bè hòa đồng không,cũng bình_thường
chừng nào cưới vợ,không biết
bạn quê ở đâu_vậy,mình quê ở quảng_ngãi
sao vậy,nay lớn rồi không đi mấy đó nữa
thiết_bị vật_tư ở trường như thế_nào,tốt
bạn sống ở thành_phố nào,mình sống ở thành_phố vũng_tàu
trường nào,tôn đức thắng
học ngành gì,khoa_học máy_tính
giá_cả thuê trọ là bao_nhiêu,3 triệu mỗi tháng
bạn thấy mình mặc gì là hợp_nhất,hãy mặc những gì bạn thấy thoải_mái nhất
nói_chuyện gì với crush đây,nói cái gì 2 bay thích
mày thích phim nào,transformers
crush học khoa nào,khoa cntt
tớ biết yêu rồi,lan chứ gì
khi nào xuống lại mua tao ít dâu được không,được chứ
có chơi thể_thao không minh,có
còn cái quần kia còn size 32 không ạ,dạ còn ă bạn
đang làm gì,sinh_viên
cho mình hỏi lúc rãnh bạn thường làm gì,mình thường đi chơi
đi ăn_không mày,đi luôn
bạn hiện đang làm gì,mình là sinh_viên còn bạn
làm gì,kinh_doanh khách_sạn
bố_mẹ bạn hiện đang làm nghề gì,bố mình là tài_xế mẹ mình làm nữ_công gia_chánh
bạn đang làm_việc ở công_ty nào,fpt
bạn ăn_ở đó bao_giờ chưa,mình ăn nhiều rồi
thành_phố nào vừa đi đã mỏi,đà_lạt
đến hà_nội nên ăn gì ngon nhất,thấy phở là ngon nhất rồi
mày làm gì rồi,làm bên cty fwb
thích gái hay trai,gái
bạn thấy thế_nào nếu không có bạn_bè,buồn lắm hehe
địa_chỉ nhà ở đâu,quảng_nam
tớ muốn mua laptop mới cậu nghĩ sao về việc này,macbook đi
bạn_bè của bạn có tệ_nạn không,không ạ
thích môn nào nhất,java
quê bạn có đặc_sản gì,đặc_sản quê mình có vú_sữa lò_rèn
thỉnh_thoảng,có hay đi shopping không
chao,di_du lich khong
bạn đang ở tỉnh nào ở việt_nam,tp hồ chí minh
cảm_ơn bạn,không có gì
năm nay bao_nhiêu tuổi bao_nhiêu tháng bao_nhiêu ngày,tao không biết
buồn_ngủ quá đi,bộ hôm_qua lại thức khuya nữa hả
tên gì,quang minh
quê_quán bạn ở đâu,thành_phố hồ chí minh
tớ thấy dòng huawei hay iphone cũ cũng được lắm,ừ tớ cũng thấy vậy
bạn có đi làm thêm không,có
sau mùng 4 lên kèo đi chơi không,cũng được dù gì cũng rãnh
cũng không nhàn đâu mà tại có bồ nên đẹp lên á …,à thế à
vậy khi rảnh bạn có_học bài không,học bài thì mình nghĩ là bận rồi
bạn có anh_chị_em gì không,có
okie cậu cuối tuần này cậu có rảnh không đi ăn với tối với tớ,tớ rảnh thế cậu muốn ăn_ở đâu
làm ở đâu_vậy,quán cây khế
xem phim xong rồi mình làm gì,đi ăn_không nghe nói gần đó có nhà_hàng mới mở
tao thích cô ấy,tao cũng vậy
có siết chặt giờ_giấc không,không hẳn
có giảm_giá điện_thoại không,không ạ
tòa thực_hành,tòa a f
cậu là fan cùa trà xanh à,tớ rất hâm_mộ chị hải tú
shop còn samsung j7 không,còn
trời cái thằng ngu này mày đánh kiểu gì thế,thông_cảm bạn ơi tui mới chơi mà
cho mình hỏi bạn hay chơi game gì,minh đang chơi lol
okay vậy nghỉ thoai,thế mai gặp ở cổng 5 nhé
bạn đang xài laptop của hãng nào vậy,mình xài hãng hp
đi tầm bao_lâu,chắc khoảng 1 tuần
ngành nào tính đi theo trong tương_lai,kinh_tế
thời_gian rảnh bạn thích làm cái gì,thích coi phim
thầy cô sao,tâm_huyết tận_tình
bạn là người đến từ đâu,mình sinh ra và lớn lên tại an_giang
bạn có biết khi nào chị bạn ra trường không,chắc là trong năm nay
bây_giờ bạ không chơi môn gì nữa à,mình bận học nên chỉ lâu_lâu đi đá bóng với bạn
rồi sao buồn,tỏ_tình nó mà nó bảo chưa quyết_định được
quê mày ở đâu quang,quê tao ở tp hồ chí minh
bóp viết mua đâu thế mày,siêu_thị văn_phòng_phẩm chứ đâu
ngành nào đang hot nhất hiện_nay,it điện điện_tử marketing
gia_đình có bao_nhiêu người,có 5 người
có đứa nào cao không,không có
thích phim gì,phim ma
mày sống ở đâu,hà_nội
bạn thích đi du_lịch ở đâu nhất,mình thích đi đà_lạt
bạn quen người_yêu bạn như thế_nào,học chung trường chung lớp nhà gần nhau á
gia_đình bạn gồm những ai bạn có anh_em không,có ba mẹ mình và 2 đứa em_gái mình là anh cả
quê mày có gì đẹp không,nhiều lắm
vậy xin giùm mình nha,oke
giá nơi bạn thuê có mắc không,giá trung_bình mỗi người tầm 1 triệu
bạn có sở_thích đọc sách không,có đọc nhiều lắm
mày hề đó,tao chúa hề mà
hôm_nay bạn như thế_nào,hôm_nay mình vẫn ổn cho tới khi mình trả_lời câu hỏi này
robot cho hỏi thời_tiết hôm_nay như thế_nào,trời quang mây tạnh thích_hợp để đi quẩy
chỉ vậy thôi hả,nhưng cũng phải có sự kiên_trì nữa nha
nước nào nhỏ nhất,khó à nha
bún_chả đi,uh bún_chả
mình thấy bạn ấy cũng có tình_cảm với bạn mà bạn không nhận ra à,vậy ư
mua laptop,không
mấy anh mentor ở chỗ mày ok không,mấy anh mentor bên đây hướng_dẫn_nhiệt_tình lắm
giảng_viên của cậu dạy dễ hiểu không,khá khó hiểu nếu cậu không tập_trung
mày mua guitar ở đâu,ở choiguitarshop
bạn sống ở quận nào,mình sống ở quận tân_bình
bạn có hay nghe nhạc lúc rảnh không,mình thường_xuyên nghe nhạc nhé
tình_trạng công_việc thế_nào,tiến_triển khá tốt tôi sắp được đấu với undertaker
học trường gì,trường đại_học tôn đức thắng
mày sẽ chọn cách chết như thế_nào,chết trên mặt_trăng
bạn đang làm ở đâu á,tui làm ngoài quận 1
bạn đang xài điện_thoại hiệu gì,mình đang xài điện_thoại_oppo
quê ở đâu,hà_nội
môn thể_thao mà bạn thích chơi nhất,môn thể_thao mà mình thích nhất là cầu_lông
đón tao ở đâu,chổ cũ nha
tết này ông có tính về quê không,quê tôi ở hải_dương nên chắc không về được dịch đang căng_thẳng quá
bạn có nợ môn không,có hiện_tại nợ vài môn
mai đi uống trà sữa không,oke
phim nó diễn_biến như thế_nào,tập_hợp những siêu anh_hùng giải_cứu_thế_giới khỏi thanos
bạn đang làm gì,trả_lời những câu hỏi của bạn
bạn ở trọ cùng với ai,ở với bạn
crush mày biết mày thích nó không,không
bạn có bị khùng không,khùng
tiền không có mà vẽ cho to,oke chốt
có dãn khi giặc nhiều không,có
sao vậy,ở nhà ngủ
ghét học môn gì,xử_lý ngôn_ngữ tự_nhiên
chị bạn bao_nhiêu tuổi rồi,có chị đâu mà hỏi
hôm_qua đi giật đồ hã mày,ừ
hiện_tại đang làm gì,làm thêm linh_tinh thôi
bạn có làm gì khác khi đang xem phim không,nope
muốn đi chơikhông,có
hello ▽,ayo what ' s up fen
gia_đình có bao_nhiêu người,5 người
gx brown switch,sao không dùng blue switch gõ nghe cho đã tai
gần mực thì đen,gần đèn thì cháy
xem phim gì,cậu vàng
cậu có người_yêu chưa,tớ có em gái nuôi
cái áo này vải gì vậy ạ,áo này vảo xô hàn chất mát lắm ạ
cậu có rảnh không,mình rảnh
bạn muốn học môn gì,thể_dục
ông đang thuê trọ ở đâu thế còn trống_không,tôi thuê ở gần trường còn trống một phòng ông có muốn thuê chung không
hệ_thống ống nước cũ hay mới,cũ
làm_ơn cho mình biết bạn đã đi vũng_tàu chưa,mình đi rồi ở đó vui lắm
dạo này ngoài rạp có phim gì,lên web coi i ai nhớ hết đâu
thường chơi game và nghe nhạc ở đâu,ở nhà
mày mua gì vậy,nhiều lắm
tao định mua con máy_tính dell giờ mua ở đâu mạy,mày lên mạng tra thử chứ tao cũng không rành
mấy phòng ngủ,4 phòng ngủ
thích môn thể_thao nào,bóng_bàn
tết bạn thường đi đâu,tôi về quê gặp ông_bà và gia_đình để ghi_nhớ về nơi mình thuộc về
mày chơi game gì,gtav
ở đâu,nhơn trạch đồng_nai
bạn có thấy sở_thích của mình là bổ_ích,yes
bạn thân là ai,là bạn hay chơi với tôi
cậu muốn xem rạp nào,rạp nào có ghế đôi nhé
vì_sao bạn thích sài_laptop của hãng asus,vì mình thấy nó cân_bằng giữa văn_phòng và gaming rất tốt đấy bạn
thích ăn gì,chuối chiên
học bao_nhiêu năm,tối_đa 7 năm
có lì_xì chứ,chắc_chắn có
cậu muốn rủ ai đi ăn chung không,ai cũng được
thích mặc áo sơ - mi à,ừm không thích áo thun
tại_sao bến tre mà_lại là xứ dừa,để mình kể cho bạn nghe về một huyền_thoại
ý_nghĩa của tết là gì,dành thời_gian với gia_đình
một cửa_hàng đang túi_xách sale tại chợ hạnh thông tâycậu có đi cùng tớ không,okmình cũng đang tìm cho bản_thân 1 chiếc túi
tình_trạng công_việc thế_nào,nói lại lần cuối là còn đi học
bạn cho mình hỏi bạn có thường đi du_lịch không,mình cũng ít đi du_lịch
ông chơi gì ở đấy,tận_hưởng cái không_khí thôi
ngành gì,nhiều quá không nhớ
bạn có thích môn thể_thao nào không,mình thích môn cầu_lông
có thích công_việc hiện_tại không,tàm_tạm à
bạn thuê nhà_trọ như_vậy có mắc không,cũng không mắc lắm vì tụi mình chia_sẻ tiền nhà với nhau mà
đang làm gì rồi,đang làm web bên quận 1
mày đang ở trọ hay ở kí_túc_xá,ở trọ
đã có người_yêu hay vẫn ế,ế
sếp khó_tính không,dễ
mày học ngu lắm phải không,khôn hơn mày là được
thầy cô thì sao,thân_thiện
làm thêm công_việc gì ở đâu_vậy,phục_vụ bàn ở kfc
đời là bể_khổ nhưng tại_sao chúng_ta lại phải sống sống có ý_nghĩa gì,đời là khổ còn sống là còn khổ hết khổ là hết_đời
ừa vào cả 2 tháng rồi mà vẫn chưa nắm được hết quy_trình,bữa giờ tao cũng hơi quạo ổng
mày tên gì,tuấn
cao mét mấy,mét bảy
ồ vậy được cuối tuần đi xem tiếp không,ok chốt_vậy nha
mày hiện_giờ có người_yêu chưa,tao đang lo_nghĩ về số_phận đen_tối trong tương_lai mù_mịt
quê_quán của bạn ở đâu,quê_hương của mình ở bến_tre
chơi đột_kích ha,ok mà chơi trên điện_thoại hay máy_tính
mày còn nhớ người_yêu cũ không,không nhưng đôi lúc lại nhớ
xe chạy mà ngoài sau kêu tạch tạch tạch là bị gì,dùng sênh
áo thun này với size xl có hợp với người mập không,bạn cần size lớn hơn
crush ai không,có
áo adidas này mình còn size xl không,mặt_hàng này hết size xl rồi
đang làm gì,lập_trình web
bạn muốn làm gì vào ngày thứ ba,shopping
bạn có rớt môn bao_giờ chưa,chưa
sao vậy,thì ít gặp á
chỗ đó có mấy loại gà vậy bạn,nhiều lắm bạn ơi
có nhiều bạn ở đại_học không,không
nam hay nữ,nữ
1 với 1 là,1 với 1 là 2
đang học hay làm,vừa học vừa làm
sao bạn lùn,thích
chủ_nhật đá banh không,không
thế có crush chưa,có crush rồi trường mình toàn trai sinh gái đẹp không
bạn thuộc nhóm máu gì,mình nhóm máu ab
cấu_hình_như thế_nào,cực mạnh
bạn có bao_nhiêu người bạn thân,có 4 người
lương của bạn có cao không,lương của tôi ở mức trung_bình
tại_sao em lại crush anh,vì anh đẹp_trai
nhà bạn ở đâu và ở trên đường nào,hỏi quài dị
thích bơi à,ừm đang hè mà
có chị anh hay em trong nhà không,có chị và em
ok cảm_ơn chị,không có gì
chứa được nhiêu người,6 người
mày thích con đó không,kó
bạn thích được bao_lâu rồi,mình mến bạn ấy được 1 năm rồi
bạn thích nghe nhạc thể_loại gì,mình không thích thể_loại cụ_thể_nào
ừ đúng rồi cậu,ở quảng_nam có món gì là đặc_sản không
chương_trình học của bạn mất mấy năm,tầm 4 năm thì phải
sao bây_giờ mới tìm_hiểu nhau,vô_tình gặp lại nên vậy đó
sống với ai,với mấy đứa bạn
vậy cậu muốn ăn gà ở đâu nè,kfc thì ngon hết sảy ấy cậu thấy sao
em muốn hỏi là thầy cô của trường như thế_nào,thầy cô rất tâm_huyết với sinh_viên
ê rảnh hong vào chơi liên_quân chung nè,cũng hong rảnh lắm mà thôi kệ chơi cho vui hehe
ê,tao có rồi đừng có gạ
nãy mình thấy bạn hát trên sân_khấu hay quá mình làm_quen được không,ok bạn
thầy cô trong trường có nhiệt_tình hỗ_trợ các bạn sinh_viên không ạ,các thầy cô trong trường rất nhiệt_tình trong giảng_dạy và hỗ_trợ sinh_viên bạn nhé
thích nhân_vật nào,optimus prime
mày đi chung với tao không,đi liền nhé
cho anh hỏi hải_sản quên em có rẻ không,dạ rẻ lắm ạ
có biệt_danh không,có
đi ăn gì không,bún đậu
hmmmm ông chắc khoảng 65kg ha,hong tui nặng lém
ngày_mai ông rảnh không,có ông chi vậy ông
có bồ chưa,rồi
bạn cho mình hỏi tên bạn gì,tên mình là nam
công_việc sao rồi,ổn
bạn học chuyên_ngành gì,học mỹ_thuật công_nghiệp
quê có gì ngon,có cơm hến ngon
thường đi ăn_ở đâu_đấy,thấy trên instagram chỗ nào ngon thì đi ăn thôi
jurassic world dominion mày,thôi mày tao đâu thích xem phim khủng_long
có đang cô_đơn không,không hề
mày với bồ mày có điểm chung gì,hay đi phượt chung
tương_lai khóc hay cười,phụ_thuộc vào độ lười của quá_khứ
làm_ơn cho mình biết bạn thích rap không,thích thì có đấy còn bảo tôi rap thì ối dồi ôi
thế bên mình giao_dịch như nào nhỉ,bên mình nhận chuyển_khoản thôi ạ
tối nay chơi game không,game gì mày
bạn không có quê,người thành_phố
bạn hiện_tại đang làm gì,đang làm công_dân việt_nam
cho mình hỏi bạn_bè của bạn có ai lập gia_đình chưa,bạn_bè mình chưa có ai lập gia_đình
công_ty của cậu còn tuyển nhân_viên không,công_ty của tớ đang tuyển chức_vụ quản_lý nhân_sự
thế giữa phim hoạt_hình và hành_động bắn súng tâm_lý tình_cảm cậu thích xem gì,gì cũng được miễn_là xem cùng cậu hihi
thích con nào,nhân_viên ở quán cà_phê tao hay đến
bạn có người_yêu chưa,người_yêu thì mnhf chưa có và mình chưa cần
bạn còn ở chung với bố_mẹ không,có chứ
thích coi phim nào,hành_động
anh ơi sắp đến valentine rồi mình đi đâu chơi đi,ở nhà đi em ơi đang dịch_bệnh mà đi đâu hãy ở nhà chống dịch
rủ mấy đứa đi cùng không,tùy_mày
nhưng mà tao lười,không làm mà muốn có_ăn thì chỉ có_ăn_chực ăn ké
đường nào,nguyễn hữu thọ
có dư vé nè đi xem phim không,đi chứ
bạn có crush ai không không,có mình có crush một người
2 bạn có hay đi chơi chung không,đi hoài
bạn học ngành gì thế,mình học cntt
bạn có thích nghe nhạc không,thích chứ
đặt khách_sạn chưa,rồi
thích diễn_viên nào không,không có
ăn gì ở đó,hải_sản
bạn thích ăn món gì nhất,mình thích ăn sushi nhất
bạn có tự_hào khi là người việt nam không,mình rất tự_hào khi là người việt_nam
bạn ở quận nào trong thành_phố,mình ở quận 8
mua máy_tính,phong vũ gearvn thế_giới di_động fpt shop
bạn có thích hút thuốc lúc rảnh không,mình không thích hút thuốc vì nó làm hại phổi và răng
mua iphone không,mua
đi chơi hay đi ngủ ba,hì hì
cho coi hình xem nào,méo cho bí_mật
đại_học năm mấy,năm 2 rồi
nước nhiều rộng nhất,nga
việt nam nằm ở châu_lục nào vậy -,nằm ở châu á đấy
tên mày là gì,hưng
mày có ở sài_gòn không,có
em muốn dẫn bạn khác vào trường thì làm_sao,xin thẻ khách nha_em
chúc_mừng sinh_nhật,cảm_ơn nhé cứ tưởng là các cậu quên luôn rồi chứ
thích chơi bóng_rổ không,thích
vậy cậu học trường đại_học nào,trường đại_học tôn đức thắng
tôi có kế_hoạch đi nghỉ ở borabora với gia_đình,bạn có đề_xuất nơi nào tốt cho 1 kỳ nghỉ không
